Twitter,Date,Content
MorganStanley,2020-09-29,Congratulations to Morgan Stanley Executive Director Dr. Bijna Kotak Dasani for featuring among the top 100 Women Executives of the HERoes Women Role Model Lists 2020! https://t.co/uuXrs3nlkC
MorganStanley,2020-09-28,"Data science benefits from large and diverse sets of interlinked data. However, people increasingly view this benefit as a detriment to individual privacy.  Please join Rati Sharma at Grace Hopper on October 3rd, critically analyzing the state of privacy today. #GHC2020 https://t.co/JTX9EYLW9o"
MorganStanley,2020-09-28,"In business, what you measure is what you incentivize. BaseCap is working to provide companies with better data solutions to power their decisions. Learn more about our startup accelerator for women and multicultural entrepreneurs: https://t.co/1MjY7gTzMG https://t.co/3zS8i0nTqb"
MorganStanley,2020-09-28,Decarbonization 101: The International Equity Team discusses how a high quality equity portfolio can help investors seeking to reduce their carbon footprint #climateweek https://t.co/MMACs9Gwkn https://t.co/7SXpoC321X
MorganStanley,2020-09-28,"Curious to find out what Natural Language Processing and fintech have in common? Don't miss Sruthi Sangala at #GHC2020 on September 30th on how to analyze typed and hand-written data.  To learn more about #GHC2020, visit: https://t.co/xh1oAtn4Ix https://t.co/JnpwkaTRw0"
MorganStanley,2020-09-27,Want to escape the bunker? @JustinRose99 thinks it’s all about having a wide stance and a wide open club face. #golf #howto #team🌹 https://t.co/Gjc0jGc0SZ https://t.co/knwNhSq9FG
MorganStanley,2020-09-27,"See four non-U.S. markets that may have advantages over the S&amp;P 500, in part due to changes brought by the COVID-19 recession: https://t.co/zl8UQMDpfa"
MorganStanley,2020-09-26,"Toxic e-waste is on track to double by 2050, but manufacturers and consumers are changing course. https://t.co/76LPWKZbbL #ClimateWeek https://t.co/XDzYtORxXa"
MorganStanley,2020-09-26,"""""Having the opportunity to solve real word cybersecurity issues that in turn protect our employees and clients makes me proud to work at Morgan Stanley"" says Greg Fukushima.
#GHC2020 attendees can sign in at our booth to enter a giveaway!  #TOGETHERwebuild https://t.co/1ZvqPyChQb"
MorganStanley,2020-09-26,"A native of Bengaluru, Anjali remembers learning in first grade to code in Basic and using it to maneuver a digital turtle around a screen. Today she's an IT executive at Morgan Stanley, and an active participant in the firm's #GHC2020 delegation. https://t.co/FHJ180nR9o"
MorganStanley,2020-09-26,"“There will be a million failures to the one success, but that one success is what innovation looks like.” - Isabel Khoo #MCIL https://t.co/gaqXjcmbyS https://t.co/Yl0riQhnqL"
MorganStanley,2020-09-25,"""I remind myself that at some point every task was new to somebody and that the only way to grow is to continue to challenge ourselves.”says Stephanie, a technology analyst at Morgan Stanley. Ready for your next challenge? Join us at #GHC2020 or visit https://t.co/tRwGKaUaCS https://t.co/QWB48QOh0a"
MorganStanley,2020-09-25,"Learn about how companies are selling sustainable bonds to raise money for COVID-19 relief, vulnerable populations and environmental initiatives. https://t.co/WngVxdF2Iz #ClimateWeek"
MorganStanley,2020-09-25,"At this year’s @LAttitudeEvent, Morgan Stanley Vice Chair Tom Nides puts the question to a panel of our top researchers: what will the Latino-driven New Mainstream Economy look like in coming decades?  #HispanicHeritageMonth #LATTITUDEISEVERYTHING https://t.co/rJ0aUYsJuJ"
MorganStanley,2020-09-25,"We’ve spoken before on the multibillion dollar funding gap for women and multicultural entrepreneurs. In our next measure to help close that gap, we’re partnering with @RiseofRest to host a pitch competition for Black startup founders. Learn more: https://t.co/ah3qwYMt5X"
MorganStanley,2020-09-25,Attending @LAttitudeEvent? Don’t miss Ileana Musa moderating a panel with senior female leaders to discuss the opportunities and challenges Latinas will encounter in the New Mainstream Economy. #LATTTUDEISEVERYTHING https://t.co/Yd7RS4YzhL https://t.co/d1YqfGvatJ
MorganStanley,2020-09-25,"The ""butterfly effect"" from COVID-19 may result in these six implications for sustainable investing, companies and investors—especially bondholders. https://t.co/VqRN0tS4Yh https://t.co/4RXkvCLzQn"
MorganStanley,2020-09-25,"Martijn Rats, our Global Oil Strategist, discusses with Axios how global population growth, GDP and oil consumption per capita have grown over a long period of time, relative to each other. To read more see the full article here: https://t.co/Fx73u0HMU3"
MorganStanley,2020-09-24,"After graduating from West Point, Jen Easterly served her country by addressing some of the most complex threats. Now she leads our #TopCos #cybersecurity Fusion Center. Find out more about Jen Easterly's amazing journey at : https://t.co/so7iRCrj1s https://t.co/joUdZUUY5L"
MorganStanley,2020-09-24,"Sustainable funds outperformed traditional funds and reduced investment risk during coronavirus, according to a new report from the Morgan Stanley Institute for Sustainable Investing. https://t.co/aMLRyYYRlH https://t.co/SpBip4di8I"
MorganStanley,2020-09-24,"As the world increasingly moves toward decarbonization, investors can analyze companies using key indicators to measure the potential risks or opportunities from climate change. #ClimateWeek https://t.co/mmztfqLPu9 https://t.co/4qZVKnylFl"
MorganStanley,2020-09-24,"""As a developer, I’m expected to come up with quick and creative tools that will keep up with the ever-evolving market,"" says current Morgan Stanley tech associate Cristina.
Join us at #GHC2020 to learn how you can follow in her footsteps. https://t.co/SEHLfe1YH1"
MorganStanley,2020-09-24,Find out how a shared insight into the complex logistics of getting kids to school led to an investment. @CarlaAnnHarris speaks with @ULUVentures founder @miriamulu1 and @rideZum founder @Ritun on the latest episode of Access and Opportunity. https://t.co/Ffcfn6IfkM
MorganStanley,2020-09-24,"Every year between $80 and $120 billion dollars of economic value is thrown away in the form of single use plastic packaging. According to our Chief Sustainability Officer Audrey Choi, recapturing that value could be a tremendous economic opportunity. https://t.co/J78DU7PrXL https://t.co/FSuwOnRSMA"
MorganStanley,2020-09-23,"""""From my first week here to four years later, Morgan Stanley has consistently demonstrated a culture that promotes collaboration and self-growth,"" says Deepshikha Jain.
To find out more, join our virtual interactive round tables at #GHC2020 #WomenInTech  https://t.co/nPq9WW8Dlw"
MorganStanley,2020-09-23,#DidYouKnow the first security underwritten by Morgan Stanley was a utility bond for @ConsumersEnergy? Learn more about our history: https://t.co/dwQp4tcWVA #MorganStanleyat85 https://t.co/43LEJCNQHJ
MorganStanley,2020-09-23,"“There has never been a more important time for diverse leadership,” says Vice Chair Carla Harris. She joined business leaders from India and around the world at the @EconomicTimes Global Business Summit this week.  #ETGBS @ET_GBS https://t.co/3x3ZjmQYDj"
MorganStanley,2020-09-23,"""The Grace Hopper Celebration is actually where I got my offer from Morgan Stanley!"" says technology analyst Emily Mi. While this year’s Grace Hopper Celebration is fully virtual, we’re just as excited to meet the next generation of tech talent. https://t.co/W27KOfQamU"
MorganStanley,2020-09-23,"Young people of color have had to endure a combination of crises this year, all of which may be impacting their mental health. #MorganStanleyACMH partner @TheSteveFund assembled a task force to support this critical issue. Read their latest report: https://t.co/g5L5zOpiGY https://t.co/YGpRkoEXtj"
MorganStanley,2020-09-23,Legacy automakers may finally be shifting toward electric now that climate change has become the top driver of auto industry fundamentals. Here's how to track their progress toward a cleaner future. #ClimateWeek https://t.co/ILLDCoeqyf
MorganStanley,2020-09-22,Equity investors have many options for managing carbon risk. Here’s one way shareholders can account for climate change. #ClimateWeek https://t.co/Ss18FbMoqR
MorganStanley,2020-09-22,"Our history is still being written. In this final part of our #MorganStanleyat85 documentary, filmed in the last few months, learn how COVID-19  is influencing the present - and future - of our firm.  https://t.co/P5YxsGBmSj"
MorganStanley,2020-09-22,"""""At Morgan Stanley, I learned how to continuously be the best version of myself while giving back to the global community using my tech skills.""
Join our virtual round tables at #GHC2020 to hear more from Rose-Gaëlle and discover opportunities at our firm https://t.co/CGwRR4JmLp"
MorganStanley,2020-09-22,"Worldwide energy demand has risen steadily for the past half century—alongside CO2 emissions. Click here for 11 revealing charts that tell the complex story of energy, economies and climate change: https://t.co/TZrlWIBYCd #ClimateWeek https://t.co/8wOloEnnmk"
MorganStanley,2020-09-22,Today we celebrate 20 years in Glasgow! Learn how our presence there played a key role in helping Morgan Stanley serve businesses around the world: https://t.co/kv44CqOgVN #MorganStanleyat85 https://t.co/zCJam57mkO
MorganStanley,2020-09-21,Morgan Stanley Chairman and CEO James Gorman discusses the impact of the pandemic on minority owned financial institutions with @carverbanknyc CEO Michael Pugh. https://t.co/119EzQfydt
MorganStanley,2020-09-21,"In the fifth installment of our #MorganStanleyat85 documentary we look back at the last ten years of our history and forward to the next 85 years of Morgan Stanley. 
https://t.co/kETeN9LUQN"
MorganStanley,2020-09-21,"""In my role, I help to connect the dots between machine learning practitioners in the firm,"" says Adel Boyarsky. 
Join us at #GHC2020 to learn about opportunities at the forefront of technology at Morgan Stanley! https://t.co/jqTbshYobo"
MorganStanley,2020-09-21,"Ready to re-enter the workforce after 2 or more years away, but not sure where to start? Our Return to Work Program provides an opportunity to get back up to speed. Applications are now open for 2021 in Budapest, Bengaluru, Mumbai, London and New York: https://t.co/UTvgfY1RXR https://t.co/nAglIM2ueC"
MorganStanley,2020-09-21,"We’re proud to announce a new commitment to reach net-zero financed carbon emissions by 2050. “Morgan Stanley believes we have an important role to play in facilitating the transition to a low carbon future,” says Chief Sustainability Officer Audrey Choi.  https://t.co/5mJ0vKmLN9"
MorganStanley,2020-09-20,Ileana Musa is as passionate about empowering Latinas as she is about running International Private Wealth Management. #HispanicHeritageMonth https://t.co/tokmel2VqO
MorganStanley,2020-09-20,"Learn how Morgan Stanley grew from a conversation among four people on a porch in Maine 85 years ago to a global financial institution with close to 60,000 employees and operations in more than 40 countries. #MorganStanleyat85 https://t.co/GME7zR1XGd https://t.co/oinjwFVf9u"
MorganStanley,2020-09-20,"During the 2008  financial crisis, leaders across our industry faced the toughest decisions of their careers. Find out how it unfolded at Morgan Stanley in our 85th anniversary documentary. #MorganStanleyat85 https://t.co/m42fMbNzb8"
MorganStanley,2020-09-19,The anticipation of playing a new course can be thrilling and nerve-racking. @JustinRose99 recommends walking the course and building a plan based on your tendencies. #golf #howto #team 🌹 https://t.co/pX8TlQHSol https://t.co/VL08tMqCUR
MorganStanley,2020-09-19,"What happened when a young Steve Jobs met a room of Morgan Stanley bankers? Find out in part 3 of our #MorganStanleyat85 documentary. 
https://t.co/jC4YGAf7Zg"
MorganStanley,2020-09-18,"Attending #GHC2020 virtually? 
Join our #TopCos virtual group interactive round tables to find out more about how Ivett Soti uses #technology to solve real-life business problems on the Equities Trading platform at Morgan Stanley. #togetherwebuild
https://t.co/Eg6b9boztD https://t.co/dBfdRteDLa"
MorganStanley,2020-09-18,"Since the mid-twentieth century, we've added new leaders, new offices around the world and new business lines like research, sales and trading, M&amp;A and more. #MorganStanleyat85 https://t.co/w3nTbPT39B"
MorganStanley,2020-09-18,"“There’s increasing interest in treating post-COVID patients who develop long-term chronic conditions,” says Albert Hwang, Managing Director, Healthcare Investment Banking at Morgan Stanley. For more on the future of healthcare, visit: https://t.co/pM0FQ5rMIS https://t.co/H9tTNrpKZS"
MorganStanley,2020-09-17,"We are proud to join the Financial Alliance for Racial Equity, an esteemed group of HBCUs and industry peers focused on building sustainable economic wealth in diverse communities and increasing the number of Black  financial professionals. https://t.co/xp9Kxxh503"
MorganStanley,2020-09-17,"What was it like to found a new bank in the middle of the Great Depression? In this first part of our #MorganStanleyat85 documentary retrospective, we uncover the origins of our firm, from 1935 through the postwar boom. 
https://t.co/LRtDqlztEj"
MorganStanley,2020-09-17,"Sustainable funds outperformed traditional funds and reduced investment risk during coronavirus, according to a new report from the Morgan Stanley Institute for Sustainable Investing. https://t.co/MQ9gtIEM7z https://t.co/90aFALtS7c"
MorganStanley,2020-09-17,"Wealth Management Chief Investment Officer Lisa Shalett lists three reasons why market leadership is likely to shift in the next few months. See how to prepare your portfolio:
https://t.co/fEhpfe3qG3"
MorganStanley,2020-09-17,"The recent pullback may be a warning sign that a long-anticipated correction is on its way, as the economic impact of COVID-19 and flagging government support risk derailing the momentum that has been driving markets since March. https://t.co/zYqVrDj77j https://t.co/6O0LhK8UsU"
MorganStanley,2020-09-16,A group of Morgan Stanley employees virtually rang the @NYSE closing bell to celebrate our firm’s 85th anniversary! Learn more about our history: https://t.co/hngVA62WFm #MorganStanleyat85 https://t.co/OeR47GnIU4
MorganStanley,2020-09-16,Explore the history of Morgan Stanley on the occasion of our 85th anniversary through our new #MorganStanleyat85 company timeline: https://t.co/NOD8GocHxh https://t.co/bPE8Y16Dwh
MorganStanley,2020-09-16,"Today is the 85th anniversary of the founding of Morgan Stanley. We're marking the occasion with a documentary about the people, ideas, values, and decisions that shaped our firm. Watch it now: https://t.co/HMlOIl9asN #MorganStanleyat85"
MorganStanley,2020-09-15,"Happy #HispanicHeritageMonth! Our Latino Employee Network is organizing virtual speaker series, panels and cultural events for our community to enjoy all month long. How will you be celebrating Hispanic Heritage Month? https://t.co/M0eYQujkU7"
MorganStanley,2020-09-15,The VC industry has yet to prioritize investing in women and multicultural founded startups despite acknowledging the opportunity that they could be missing. Learn about the importance of investing in companies like Cosynd: https://t.co/S8oQsCApVQ https://t.co/H3F6AZP0LA
MorganStanley,2020-09-14,Why gridlock on the next U.S. stimulus package—combined with election year uncertainty—suggests there could be more downside in September and October. https://t.co/1cQLoxBFZA
MorganStanley,2020-09-14,We're looking back—and ahead—on the occasion of our 85th anniversary. Our #MorganStanleyat85 documentary premieres this week. https://t.co/3x3rRcPcgr
MorganStanley,2020-09-14,"As a proud sponsor of the Grace Hopper Celebration of #WomenInComputing, we look forward to (virtually!) connecting and speaking with attendees about fantastic tech opportunities at #TopCos Morgan Stanley. https://t.co/Uj7JmCjuFh #togetherwebuild #ghc2020 https://t.co/8Jg3Imz8Jx"
MorganStanley,2020-09-14,"The rise of COVID-19, the rush to discover a vaccine, and the associated disruption have directed the focus of investors on the healthcare sector like never before. Follow along as we report from our virtual Global Healthcare Conference this week.
https://t.co/rizsRqojFZ https://t.co/IGbtAbekrz"
MorganStanley,2020-09-14,"Is a COVID-19 vaccine within reach?  As Morgan Stanley’s Global Healthcare Conference kicks off, equity analysts Matthew Harrison and Ricky Goldwasser discuss the state of vaccine development and the road to distribution.  
https://t.co/3dEK4d93os"
MorganStanley,2020-09-11,"Originally founded to support WTC victims and their families, @Tuesdayschldrn has since become a global organization working to achieve long-term healing for communities impacted by traumatic loss. We’re proud to feature them as our #LightsonBroadway partner this month. https://t.co/R9aB55n2m5"
MorganStanley,2020-09-11,"Morgan Stanley was the largest WTC tenant 19 years ago with almost 2,700 employees in the south tower and 1,000 more at 5 WTC, which was also reduced to rubble. 13 of the 2,606 people who died that day were our friends and colleagues. Our losses are incalculable. #NeverForget https://t.co/aVGX5E3tUC"
MorganStanley,2020-09-10,Venture capitalists who aren’t actively pursuing investments in women and multicultural founders may be leaving money on the table. Learn about the importance of investing in businesses like Bluewave. https://t.co/7SCDJ0pJ6a #MCIL https://t.co/1an1FAD1ke
MorganStanley,2020-09-10,The @JedFoundation’s Morgan Stanley Scholarship Fund will support mental health and suicide prevention programming at 50 schools over the next 3 years including @FrederickCC @SCCYourCollege @StThomasUniv @TowsonU @Mizzou and @HolyokeCC. https://t.co/drt1fTLIM2 #MorganStanleyACMH
MorganStanley,2020-09-10,We’re proud to be named as @Euromoney Magazine’s World’s Best Bank for Advisory and World’s Best Bank for Financial Institutions for 2020 #EuromoneyAFE https://t.co/8pXfSoKm84
MorganStanley,2020-09-10,"“I am looking forward to supporting even more founders to accelerate their growth and access to capital,” said Carla Harris, Vice Chairman of Morgan Stanley and Head of the Multicultural Client Strategy Group. Learn more, including how to apply: 
https://t.co/nJfuvMIEZu https://t.co/efmtaXlLNn"
MorganStanley,2020-09-10,Vice-Chair Carla Harris explains why we’re doubling the number of companies we’re accepting to our accelerator for women and multicultural entrepreneurs in 2021. #MCIL https://t.co/hfOrNBWWyb
MorganStanley,2020-09-09,“Organizations play an important role in ensuring we create a culture for an open dialogue around mental health.” Our Australia CEO Richard Wagner discusses how the firm helps destigmatize mental health in an interview for @ruokday. Read the full article https://t.co/ypjyPRCAj5 https://t.co/eylCwP7B85
MorganStanley,2020-09-09,"A recent shift in Fed policy could fuel inflation over the intermediate term. Wealth Management Chief Investment Officer Lisa Shalett explains why that could lead to unexpected risks:
https://t.co/h3lyUuxHIG"
MorganStanley,2020-09-09,"Fewer companies are offering earnings guidance, which is all the more reason to know how to find alpha by uncovering surprises. https://t.co/SC3WSbLoxJ"
MorganStanley,2020-09-09,"Starting this September, we’ll explore the people, ideas, and events that have shaped our firm over the last 85 years. The #MorganStanleyat85 documentary premieres one week from today. https://t.co/tXtvTf90hV"
MorganStanley,2020-09-09,Our strategic alliance with MUFG Trust and Banking will provide stock plan administrative services to executives and employees of Japanese companies. #WealthManagement @Shareworks.  Learn more about this alliance: https://t.co/80jnqOFiDZ
MorganStanley,2020-09-08,"The formula for successful investing consists of two elements: pricing power and recurring revenues. Laura Bottega, of our International Equity Team, explains why https://t.co/PafCAOYGvu https://t.co/vnW0rjwi6f"
MorganStanley,2020-09-08,"We congratulate Kyle Corcoran, Morgan Stanley Executive Director and United States Marine Corps veteran, for being named to the @FortuneMagazine #40Under40. https://t.co/U2KGxflJuZ"
MorganStanley,2020-09-08,"Historically investing in stocks, while they can be risky, has been a risk worth taking. Our portfolio managers explore. https://t.co/yooZzwfbLW https://t.co/R8tpNbnqX0"
MorganStanley,2020-09-08,"A book can change your life. That’s why we’re so proud to partner with @roomtoreadindia. By providing children in local communities in India with optimal reading environments and developing literacy skills, we can create meaningful change. #InternationalLiteracyDay #MSGivesBack https://t.co/tp1fq7YYz2"
MorganStanley,2020-09-06,"Our Gen Z and Gen Y interns demonstrate strong convictions about the nature of the workplace. In additi=on to environmental impact, 23% cited diversity in the workplace as the #1 sustainability challenge over the next few years. https://t.co/ppQcoR2CqE https://t.co/xrsGNLyXQz"
MorganStanley,2020-09-06,"“60% of carbon emissions come from energy and this is a key area where we can reduce emissions by using technology.” Jessica Alsford, Head of Global Sustainability Research, discusses how investing in technology can help curb carbon emissions in a #MorganStanleyMinute. https://t.co/ttrodBbcaZ"
MorganStanley,2020-09-06,Top business influencers gathered remotely to discuss the effects of COVID-19 at our fifth annual Senior Multicultural Leadership Conference. Vice Chairman Carla Harris shares key insights in this Q&amp;A. https://t.co/z8O6khTk6U
MorganStanley,2020-09-05,"Inspired by a family member’s struggle with chronic illness, entrepreneur Erica Plybeah founded MedHaul to connect patients with vital transportation. Our Multicultural Innovation Lab helps businesses like MedHaul grow. Learn more: https://t.co/lcSG81oAwz https://t.co/ACqgQQrGWP"
MorganStanley,2020-09-04,Almost 50% of Morgan Stanley’s NextGen summer interns say they plan to spend more time buying products on their smartphone over the next three years—up 4% compared to our 2019 interns. Read the full survey now: https://t.co/CbXJMi4VID https://t.co/tKz7EJfdKk
MorganStanley,2020-09-04,In our updated return to work survey we found the UK still lags behind European counterparts - with 63% of UK office workers still working at home in August (July: 66%) compared to only 16% in France (July: 17%). Where do you currently spend most of your working hours? #MSIdeas https://t.co/rX189KQnOg
MorganStanley,2020-09-03,"NEW EPISODE: @Textio CEO Kieran Snyder and @OperatorCollect Partner Mallun Yen joined @CarlaAnnHarris for a discussion of outliers, acts of allyship, and more on our latest episode of Access and Opportunity.   https://t.co/z8drDl1YJe"
MorganStanley,2020-09-03,"How to explain the steady, almost mechanical rise in markets despite often weak economic data? It may come down to expectations and trend lines. https://t.co/IcIt2mlHIS"
MorganStanley,2020-09-03,"It all started on this porch in August 1935, where the charter for the company that would become Morgan Stanley was created. Starting this month, we’ll explore the people, ideas, and events that have shaped our firm over the last 85 years. #MorganStanleyat85 https://t.co/4Q4pGQFaAz"
MorganStanley,2020-09-02,"As a company founded during the Great Depression, we have great respect for entrepreneurs making their way during uncertain times. This year, we’re accepting twice the number of applicants to our accelerator for women and multicultural entrepreneurs. https://t.co/s2hsRgOTAb https://t.co/PotUkaRhw6"
MorganStanley,2020-09-02,Not all jobs at Morgan Stanley are in investment banking. Hear from a second year analyst on our North American operations team in our second Q&amp;A session this week. Send in your questions for Kai now on our latest Instagram Story! https://t.co/1JGpoCbboY. https://t.co/ApJEYIDOGL
MorganStanley,2020-09-02,"Mike Wilson, Chief US Equity Strategist and Chief Investment Officer, joins CNBC Closing Bell to discuss where he sees equity markets heading: https://t.co/TcJJExHca6."
MorganStanley,2020-09-01,"How do we recreate serendipitous “water cooler” connections in a world with much less physical proximity after COVID-19? Robert Feldman, Morgan Stanley Senior Advisor in Japan, and @UCSanDiego Professor Ulrike Schaede answer in the Nikkei Asian Review. https://t.co/YbDdhgKKfc"
MorganStanley,2020-09-01,"“Corporations need to better leverage the data that they have and get that information into the consumers' hands,” says Steve Rodgers, Head of Healthcare Investing, Capital Partners. #MorganStanleyMinute https://t.co/T0TnRo17XK https://t.co/L4HF4BNtkT"
MorganStanley,2020-09-01,"A mentor who shares a common bond can make all the difference. For Jamie Palmer, who works in the Wealth Management Group, that mentor was fellow Jamaican Lauren Ziade. Listen here for more. https://t.co/aWlS8lEWzx"
MorganStanley,2020-09-01,"Fueled by liquidity from the Fed, we’re now in an “everything rally,” where Treasurys have soared at the same time stocks and gold are reaching record highs. Wealth Management Chief Investment Officer Lisa Shalett explains why this is worrisome:
https://t.co/fv9PllBIU3"
MorganStanley,2020-09-01,Risk as a starting point - not an afterthought. Andrew Harmstone of our Global Balanced Risk Control Team explains how his team's investment process begins with risk https://t.co/C2Ypgbc0sF https://t.co/v8PqKuzjgm
MorganStanley,2020-09-01,"27 years ago, Mandell Crawley landed an #internship at Morgan Stanley. Today, he serves as our Head of Private Wealth Management and credits those early days as a key driver of his remarkable career. https://t.co/Naalz8KzY0 https://t.co/FLoAzhnYKv"
MorganStanley,2020-09-01,"As advances in technology and new social formats bring an activity once considered fringe more deeply into the mainstream, our Global Emerging Markets Team explores the future of the gaming industry. https://t.co/SvyLtzvxdK https://t.co/FT9HxHT2yA"
MorganStanley,2020-08-31,Our founders Henry Morgan and Harold Stanley took the passage of this landmark 1933 legislation as an opportunity to strike off on their own. #MorganStanleyat85 https://t.co/sWZmJ6E5Or
MorganStanley,2020-08-31,"Nearly half of Morgan Stanley's NextGen summer interns say that car ownership will be unnecessary by the end of this decade. Explore our full survey to discover the viewpoints guiding the next generation of our industry. 
https://t.co/FBQB5gK7MK https://t.co/duKzDDua5z"
MorganStanley,2020-08-31,"We believe there are five elements of a high quality business. Kristian Heugh, Head of our Global Opportunity Team, explains how he incorporates these elements into the team's due diligence https://t.co/Rbn4r9qE5x https://t.co/6Zut5Dm3ZX"
MorganStanley,2020-08-31,Ask Ines about her first year as an investment banker! Visit our Instagram Stories this week for a Q&amp;A with a globetrotting analyst from our London office: https://t.co/sE4Vhon70v https://t.co/yhANEBxJIi
MorganStanley,2020-08-30,Want to improve your short game from home? @JustinRose99 says it’s all about positioning your ball in relation to your dominant arm vs. your feet. #golf #howto #team 🌹 https://t.co/tHsqc6CfRP
MorganStanley,2020-08-29,We’ve made an additional $3.5 million grant to @FeedingAmerica America to help its member food banks support households with children living in diverse communities hit hardest by hunger. #MSGivesBack https://t.co/w8ubRs2rpQ https://t.co/LHSiVGATKC
MorganStanley,2020-08-29,"We do not want to let bias rob the marketplace of good ideas. The Multicultural Innovation Lab - our accelerator program for women and multicultural entrepreneurs - is now accepting applications. Apply now:  
https://t.co/gvyrWSLZMO https://t.co/3C2jVI4OAG"
MorganStanley,2020-08-29,"As students and educators alike adapt to learning at a distance, our nonprofit partner @Place2Be is launching free online training for UK teachers to build skills and capacity for supporting positive mental health in this new environment. Read more: https://t.co/1a5zzaMfrc https://t.co/TF0I9r2REd"
MorganStanley,2020-08-27,The Black Lives Matter movement has been a catalyst for change. Our Head of Diversity and Inclusion Susan Reid joined the BBC for a discussion of some of the changes we’ve made in recent months. https://t.co/HmHDKt6yW4
MorganStanley,2020-08-27,"With nearly three decades of experience at Morgan Stanley, Head of Private Wealth Management Mandell Crawley shares his perspectives on racial justice, sustainability, and the future of wealth with @Ritholtz on @Bloomberg’s @MastersinB podcast.  https://t.co/js0uNPd5nT"
MorganStanley,2020-08-26,Morgan Stanley Chairman and CEO James Gorman discusses the impact of the pandemic on minority owned financial institutions with @carverbanknyc CEO Michael Pugh. https://t.co/Qy0ZowIsYD
MorganStanley,2020-08-26,Just how big would a state and local U.S. stimulus package need to be to support a V-shaped recovery and avoid credit downgrades?  https://t.co/5AohRXIpYP
MorganStanley,2020-08-26,"LGBT+ Pride celebrations in 2020 may look different, but they feel the same in our hearts. Members of our global Pride and Ally Networks joined together to share the message that we’re in this together, even while we’re apart. #Pride2020 #UnitedWhileApart #WeAreProud https://t.co/IfT3HUryG4"
MorganStanley,2020-08-25,China’s recovery could be progressing better than markets expected as consumers spend more money onshore and the nation’s export engine gains market share.  https://t.co/VSzcV5w9hy
MorganStanley,2020-08-25,"The S&amp;P 500 recently returned to record levels. In this article, Wealth Management Chief Investment Officer Lisa Shalett discusses why investors shouldn’t chase this milestone: https://t.co/3LykKprbYp"
MorganStanley,2020-08-25,Hear from our Chief Human Resource Officer Jeff Brodsky about how we’re looking out for the mental health of our employees. https://t.co/L35jBwfg29
MorganStanley,2020-08-24,"Toxic e-waste is on track to double by 2050, but manufacturers and consumers are changing course. https://t.co/zrdIRkFXUZ"
MorganStanley,2020-08-24,Black-owned startups are typically funded at 80% less than others. But this moment of new focus on racial inequity might change that. Members of our Multicultural Innovation Lab share their experiences. https://t.co/Y9Br0s3aAS
MorganStanley,2020-08-23,"Jen Easterly, Global Head of the Morgan Stanley Fusion Resilience Center, shares what she discovered while serving in the U.S. Army about the use of #technology for #security. https://t.co/bmwBopRdQA"
MorganStanley,2020-08-22,There’s little room for error when trying to avoid the water. Watch @JustinRose99 explain how he navigates this shot. https://t.co/fAoVpG74cg #golf #howto #team 🌹 https://t.co/QAoOSgX19R
MorganStanley,2020-08-21,Markets are pricing years of lower inflation due to fallout from the pandemic. But a simple barbershop visit illustrates why that view is worth examining. https://t.co/5hVZZES8VN
